,Text_Final,tokens,label,Pos,Neg
10,produk populer banget breakout parah tapi tidak bantu tidak busa tapi tidak asa bersih bruntus sabar nungu tidak cocok coba,"['produk', 'populer', 'banget', 'breakout', 'parah', 'tapi', 'tidak', 'bantu', 'tidak', 'busa', 'tapi', 'tidak', 'asa', 'bersih', 'bruntus', 'sabar', 'nungu', 'tidak', 'cocok', 'coba']",0,0,1
11,breakout lumayan parah coba sabun bagus sensitif kerja tapi sabunya habis coba breakout repurchase sabun tapi tidak efek sekadar bersih gentle,"['breakout', 'lumayan', 'parah', 'coba', 'sabun', 'bagus', 'sensitif', 'kerja', 'tapi', 'sabunya', 'habis', 'coba', 'breakout', 'repurchase', 'sabun', 'tapi', 'tidak', 'efek', 'sekadar', 'bersih', 'gentle']",1,1,0
12,lama breakout parah banyak saran tidak breakout jujur tidak efek breakout padahal bukan jerawat sensasi asa tidak kotor asli iseng kapas usap bersih bersih kotor,"['lama', 'breakout', 'parah', 'banyak', 'saran', 'tidak', 'breakout', 'jujur', 'tidak', 'efek', 'breakout', 'padahal', 'bukan', 'jerawat', 'sensasi', 'asa', 'tidak', 'kotor', 'asli', 'iseng', 'kapas', 'usap', 'bersih', 'bersih', 'kotor']",0,0,1
13,habis botol bagus sensitif jerawat prone cerita liter harga asli hampir freongkir,"['habis', 'botol', 'bagus', 'sensitif', 'jerawat', 'prone', 'cerita', 'liter', 'harga', 'asli', 'hampir', 'freongkir']",1,1,0
14,coba tapi produk minyak makin banyak coba minyak kurang tapi lebih double bersih eksfoliasi banyak banget kotor tempel,"['coba', 'tapi', 'produk', 'minyak', 'makin', 'banyak', 'coba', 'minyak', 'kurang', 'tapi', 'lebih', 'double', 'bersih', 'eksfoliasi', 'banyak', 'banget', 'kotor', 'tempel']",1,1,0
15,tekstur gel lembut sensasi beda banding tidak jerawat bersih bersih tidak kusam tidak tambah kusam tapi bersih bisa coba repurchase tidak butuh lebih sekadar bersih,"['tekstur', 'gel', 'lembut', 'sensasi', 'beda', 'banding', 'tidak', 'jerawat', 'bersih', 'bersih', 'tidak', 'kusam', 'tidak', 'tambah', 'kusam', 'tapi', 'bersih', 'bisa', 'coba', 'repurchase', 'tidak', 'butuh', 'lebih', 'sekadar', 'bersih']",1,1,0
16,sensitif wajib banget coba masalah jerawat kempes hempas walaupun butuh kurang banyak butuh produk rekomendasi,"['sensitif', 'wajib', 'banget', 'coba', 'masalah', 'jerawat', 'kempes', 'hempas', 'walaupun', 'butuh', 'kurang', 'banyak', 'butuh', 'produk', 'rekomendasi']",1,1,0
17,coba produk bagus klaim lembap muka tidak cocok timbul kering proses lembap tidak kering habis rasa tarik bahanya kandung,"['coba', 'produk', 'bagus', 'klaim', 'lembap', 'muka', 'tidak', 'cocok', 'timbul', 'kering', 'proses', 'lembap', 'tidak', 'kering', 'habis', 'rasa', 'tarik', 'bahanya', 'kandung']",0,0,1
18,enak banget bersih benar benar tidak lembap tapi bersih banget bersih tidak licin habis cuci paling produk tapi ujung bruntus produk salah bantu atas masalah bagus,"['enak', 'banget', 'bersih', 'benar', 'benar', 'tidak', 'lembap', 'tapi', 'bersih', 'banget', 'bersih', 'tidak', 'licin', 'habis', 'cuci', 'paling', 'produk', 'tapi', 'ujung', 'bruntus', 'produk', 'salah', 'bantu', 'atas', 'masalah', 'bagus']",1,1,0
19,kering sensitif tekstur bantu banget efek habis asa bersih lama kelam halus gentle tidak tarik tekstur gel lendir walaupun mahal tapi seh,"['kering', 'sensitif', 'tekstur', 'bantu', 'banget', 'efek', 'habis', 'asa', 'bersih', 'lama', 'kelam', 'halus', 'gentle', 'tidak', 'tarik', 'tekstur', 'gel', 'lendir', 'walaupun', 'mahal', 'tapi', 'seh']",1,1,0
20,gentle tidak busa tidak licin tidak efek selain lembap sedikit tapi bagus tidak efek negatif repurchase,"['gentle', 'tidak', 'busa', 'tidak', 'licin', 'tidak', 'efek', 'selain', 'lembap', 'sedikit', 'tapi', 'bagus', 'tidak', 'efek', 'negatif', 'repurchase']",1,1,0
21,tekstur benar benar gentle banget tidak busa tidak tarik habis liat segar sehat lama belum breakout bruntus lumayan pengaruh sabar rutin tidak bukan buruk produk tapi kurang suka tidak busa tapi bagus produk,"['tekstur', 'benar', 'benar', 'gentle', 'banget', 'tidak', 'busa', 'tidak', 'tarik', 'habis', 'liat', 'segar', 'sehat', 'lama', 'belum', 'breakout', 'bruntus', 'lumayan', 'pengaruh', 'sabar', 'rutin', 'tidak', 'bukan', 'buruk', 'produk', 'tapi', 'kurang', 'suka', 'tidak', 'busa', 'tapi', 'bagus', 'produk']",1,1,0
22,hampir tahun gentle banget tidak kering busa sedikit banget tidak tapi gentle kurang tarik minyak super tapi bingung tapi,"['hampir', 'tahun', 'gentle', 'banget', 'tidak', 'kering', 'busa', 'sedikit', 'banget', 'tidak', 'tapi', 'gentle', 'kurang', 'tarik', 'minyak', 'super', 'tapi', 'bingung', 'tapi']",1,1,0
23,coba awal ajar benar hasil biasa sedikit banget busa rasa kurang bersih efectnya kurang lembap kadang sensasi tarik tidak repurchase,"['coba', 'awal', 'ajar', 'benar', 'hasil', 'biasa', 'sedikit', 'banget', 'busa', 'rasa', 'kurang', 'bersih', 'efectnya', 'kurang', 'lembap', 'kadang', 'sensasi', 'tarik', 'tidak', 'repurchase']",0,0,1
24,tidak asa jujur suka banget tidak busa tidak parfum tidak kering kemas simpel tapi tidak tidak suka banget suka banyak bisa banget gampang banget tidak tapi jujur kurang suka tidak segel tidak bisa banget jamin sabun belum tidak beter lebih segel tapi overal suka banget lama sabun cukup reda bruntus tapi,"['tidak', 'asa', 'jujur', 'suka', 'banget', 'tidak', 'busa', 'tidak', 'parfum', 'tidak', 'kering', 'kemas', 'simpel', 'tapi', 'tidak', 'tidak', 'suka', 'banget', 'suka', 'banyak', 'bisa', 'banget', 'gampang', 'banget', 'tidak', 'tapi', 'jujur', 'kurang', 'suka', 'tidak', 'segel', 'tidak', 'bisa', 'banget', 'jamin', 'sabun', 'belum', 'tidak', 'beter', 'lebih', 'segel', 'tapi', 'overal', 'suka', 'banget', 'lama', 'sabun', 'cukup', 'reda', 'bruntus', 'tapi']",1,1,0
25,bagus banget tapi kering jangan lebih kering tapi cocok minyak banget cocok cocok tapi kering banget,"['bagus', 'banget', 'tapi', 'kering', 'jangan', 'lebih', 'kering', 'tapi', 'cocok', 'minyak', 'banget', 'cocok', 'cocok', 'tapi', 'kering', 'banget']",1,1,0
26,bersih gentle busa tapi tidak lebih suka lebih suka busa rasa rasa tebal tidak rasa kurang bersih walaupun benar bersih jerawat gosok habis merah tapi banyak bagus benar kurang,"['bersih', 'gentle', 'busa', 'tapi', 'tidak', 'lebih', 'suka', 'lebih', 'suka', 'busa', 'rasa', 'rasa', 'tebal', 'tidak', 'rasa', 'kurang', 'bersih', 'walaupun', 'benar', 'bersih', 'jerawat', 'gosok', 'habis', 'merah', 'tapi', 'banyak', 'bagus', 'benar', 'kurang']",0,0,1
27,lama super kering coba aman tapi cocok benar bisa super kering busa tidak sedikit tapi benar rasa bersih banget habis suka,"['lama', 'super', 'kering', 'coba', 'aman', 'tapi', 'cocok', 'benar', 'bisa', 'super', 'kering', 'busa', 'tidak', 'sedikit', 'tapi', 'benar', 'rasa', 'bersih', 'banget', 'habis', 'suka']",1,1,0
28,bagus sensitif tekstur ringan warna putih keruh wangi lembut tidak licin jerawat parah masalah bisa akhir sering lebih lembap tapi wajah kurang rekomendasi cepat tapi bagus lembap busa sedikit klaim fre fre parfum,"['bagus', 'sensitif', 'tekstur', 'ringan', 'warna', 'putih', 'keruh', 'wangi', 'lembut', 'tidak', 'licin', 'jerawat', 'parah', 'masalah', 'bisa', 'akhir', 'sering', 'lebih', 'lembap', 'tapi', 'wajah', 'kurang', 'rekomendasi', 'cepat', 'tapi', 'bagus', 'lembap', 'busa', 'sedikit', 'klaim', 'fre', 'fre', 'parfum']",1,1,0
29,suka banget produk rasa cocok banget bruntus dahi kurang banyak banget kandung bisa kering tapi kering cocok kadang kering banget asa kering tapi langsung produk hidrasi repurchase wajib banget,"['suka', 'banget', 'produk', 'rasa', 'cocok', 'banget', 'bruntus', 'dahi', 'kurang', 'banyak', 'banget', 'kandung', 'bisa', 'kering', 'tapi', 'kering', 'cocok', 'kadang', 'kering', 'banget', 'asa', 'kering', 'tapi', 'langsung', 'produk', 'hidrasi', 'repurchase', 'wajib', 'banget']",1,1,0
30,sabun boming banget bagus penasaran benar awal rasa tarik banget tidak rasa salah bersih banget tidak cepat iritasi kering banget banget banget,"['sabun', 'boming', 'banget', 'bagus', 'penasaran', 'benar', 'awal', 'rasa', 'tarik', 'banget', 'tidak', 'rasa', 'salah', 'bersih', 'banget', 'tidak', 'cepat', 'iritasi', 'kering', 'banget', 'banget', 'banget']",0,0,1
31,tidak kotor tidak tidak suka licin licin banget belum produk tidak iritasi cocok sensitif,"['tidak', 'kotor', 'tidak', 'tidak', 'suka', 'licin', 'licin', 'banget', 'belum', 'produk', 'tidak', 'iritasi', 'cocok', 'sensitif']",0,0,1
32,breakout bingung sabun tapi akhir alih tidak masalah breakout parah cukup rekomendasi,"['breakout', 'bingung', 'sabun', 'tapi', 'akhir', 'alih', 'tidak', 'masalah', 'breakout', 'parah', 'cukup', 'rekomendasi']",1,1,0
33,aman busa tidak sedikit tidak tarik efek tidak tapi bisa habis sabun bagus,"['aman', 'busa', 'tidak', 'sedikit', 'tidak', 'tarik', 'efek', 'tidak', 'tapi', 'bisa', 'habis', 'sabun', 'bagus']",1,1,0
34,salah cocok efek asa lembut tidak licin kecil gampang banget kulit sensitif tidak berani tidak breakout,"['salah', 'cocok', 'efek', 'asa', 'lembut', 'tidak', 'licin', 'kecil', 'gampang', 'banget', 'kulit', 'sensitif', 'tidak', 'berani', 'tidak', 'breakout']",1,1,0
35,produk populer tahan sedikit bruntus lama tidak efek buruk tapi tidak efek bruntus produk bagus tidak cocok produk produk lumayan awet tidak cepat habis,"['produk', 'populer', 'tahan', 'sedikit', 'bruntus', 'lama', 'tidak', 'efek', 'buruk', 'tapi', 'tidak', 'efek', 'bruntus', 'produk', 'bagus', 'tidak', 'cocok', 'produk', 'produk', 'lumayan', 'awet', 'tidak', 'cepat', 'habis']",0,0,1
36,produk awal kondisi jerawat bruntus semingu liat banget hasil bersih jerawat bruntus kering lama hilang langsung suka produk lembut tarik lembap bersih padahal serum tambah,"['produk', 'awal', 'kondisi', 'jerawat', 'bruntus', 'semingu', 'liat', 'banget', 'hasil', 'bersih', 'jerawat', 'bruntus', 'kering', 'lama', 'hilang', 'langsung', 'suka', 'produk', 'lembut', 'tarik', 'lembap', 'bersih', 'padahal', 'serum', 'tambah']",1,1,0
37,gentle banget tidak wangi tidak busa tidak kering suka banget sayang mahal overal cocok selamat banget bruntus langsung sembuh beruntus,"['gentle', 'banget', 'tidak', 'wangi', 'tidak', 'busa', 'tidak', 'kering', 'suka', 'banget', 'sayang', 'mahal', 'overal', 'cocok', 'selamat', 'banget', 'bruntus', 'langsung', 'sembuh', 'beruntus']",1,1,0
38,produk jerawat parah kurang kerja tapi lebih lembap tekstur saran bareng lebih kerja,"['produk', 'jerawat', 'parah', 'kurang', 'kerja', 'tapi', 'lebih', 'lembap', 'tekstur', 'saran', 'bareng', 'lebih', 'kerja']",1,1,0
39,gentle bersih sangat cocok kering bruntus formula busa lembut tidak iritasi tidak kering tarik sabun,"['gentle', 'bersih', 'sangat', 'cocok', 'kering', 'bruntus', 'formula', 'busa', 'lembut', 'tidak', 'iritasi', 'tidak', 'kering', 'tarik', 'sabun']",1,1,0
40,benar benar gentle rasa tidak bahaya sensitif tidak tarik hasil akhir tidak kering tapi tidak tidak suka rasa tidak kotor tidak angkat kotor coba bersih kotor lumayan banyak overal bagus,"['benar', 'benar', 'gentle', 'rasa', 'tidak', 'bahaya', 'sensitif', 'tidak', 'tarik', 'hasil', 'akhir', 'tidak', 'kering', 'tapi', 'tidak', 'tidak', 'suka', 'rasa', 'tidak', 'kotor', 'tidak', 'angkat', 'kotor', 'coba', 'bersih', 'kotor', 'lumayan', 'banyak', 'overal', 'bagus']",1,1,0
41,jatuh cinta produk perih tidak coba tidak aman tahan lebih produk,"['jatuh', 'cinta', 'produk', 'perih', 'tidak', 'coba', 'tidak', 'aman', 'tahan', 'lebih', 'produk']",1,1,0
42,tidak tarik halus komedo jerawat jarang muncul bersih asli bersih luar biasa nyaman banget,"['tidak', 'tarik', 'halus', 'komedo', 'jerawat', 'jarang', 'muncul', 'bersih', 'asli', 'bersih', 'luar', 'biasa', 'nyaman', 'banget']",1,1,0
43,aman benar benar gentle tidak rasa sabun tidak tidak lembap tekstur cair klaim banget gentle banget,"['aman', 'benar', 'benar', 'gentle', 'tidak', 'rasa', 'sabun', 'tidak', 'tidak', 'lembap', 'tekstur', 'cair', 'klaim', 'banget', 'gentle', 'banget']",1,1,0
44,gentle tapi tidak cocok rasa tidak kotor hasil akhir licin kurang suka lama kelam kasar tekstur alhamdulilahnya kecil tidak rugi banget tapi cocok jerawat wajib coba cocok ngaknya,"['gentle', 'tapi', 'tidak', 'cocok', 'rasa', 'tidak', 'kotor', 'hasil', 'akhir', 'licin', 'kurang', 'suka', 'lama', 'kelam', 'kasar', 'tekstur', 'alhamdulilahnya', 'kecil', 'tidak', 'rugi', 'banget', 'tapi', 'cocok', 'jerawat', 'wajib', 'coba', 'cocok', 'ngaknya']",0,0,1
45,repurchase tidak busa tapi gentle klaim tidak tarik penting bersih banget tidak iritasi jerawat bisa coba harga,"['repurchase', 'tidak', 'busa', 'tapi', 'gentle', 'klaim', 'tidak', 'tarik', 'penting', 'bersih', 'banget', 'tidak', 'iritasi', 'jerawat', 'bisa', 'coba', 'harga']",1,1,0
46,baik tidak masalah enak tidak tarik tapi tidak efek tidak repurchase tidak bosan tidak habis habis,"['baik', 'tidak', 'masalah', 'enak', 'tidak', 'tarik', 'tapi', 'tidak', 'efek', 'tidak', 'repurchase', 'tidak', 'bosan', 'tidak', 'habis', 'habis']",1,1,0
47,kurang rekomendasi lengket bukan lembap asa lengket lendir awal penasaran coba lengket bruntus banget bgian jidat,"['kurang', 'rekomendasi', 'lengket', 'bukan', 'lembap', 'asa', 'lengket', 'lendir', 'awal', 'penasaran', 'coba', 'lengket', 'bruntus', 'banget', 'bgian', 'jidat']",0,0,1
48,bagus banget jerawat prone bekas jerawat sedikit hilang habis tidak kering lembap bruntus tidak hilang,"['bagus', 'banget', 'jerawat', 'prone', 'bekas', 'jerawat', 'sedikit', 'hilang', 'habis', 'tidak', 'kering', 'lembap', 'bruntus', 'tidak', 'hilang']",1,1,0
49,beda reaksi maju mundur akhir berani coba betul gratis langsung kurang lebih semingu lembap kenyal tapi bekas jerawat belum hilang tekstur tidak bau busa rasa tidak,"['beda', 'reaksi', 'maju', 'mundur', 'akhir', 'berani', 'coba', 'betul', 'gratis', 'langsung', 'kurang', 'lebih', 'semingu', 'lembap', 'kenyal', 'tapi', 'bekas', 'jerawat', 'belum', 'hilang', 'tekstur', 'tidak', 'bau', 'busa', 'rasa', 'tidak']",1,1,0
50,bagus banget bersih awal iseng coba kecil benar holygrail benar gentle kurang cocok bersih afteraply lembap tidak tarik cocok syukur banget cocok padahal awal,"['bagus', 'banget', 'bersih', 'awal', 'iseng', 'coba', 'kecil', 'benar', 'holygrail', 'benar', 'gentle', 'kurang', 'cocok', 'bersih', 'afteraply', 'lembap', 'tidak', 'tarik', 'cocok', 'syukur', 'banget', 'cocok', 'padahal', 'awal']",1,1,0
51,breakout walaupun tidak sedikit cekit cekit tidak kandung tidak cocok rasa tidak angkat,"['breakout', 'walaupun', 'tidak', 'sedikit', 'cekit', 'cekit', 'tidak', 'kandung', 'tidak', 'cocok', 'rasa', 'tidak', 'angkat']",0,0,1
52,enak walaupun busa tidak sedikit tapi lembap cocok banget sensitif biasa produk produk bersin lama,"['enak', 'walaupun', 'busa', 'tidak', 'sedikit', 'tapi', 'lembap', 'cocok', 'banget', 'sensitif', 'biasa', 'produk', 'produk', 'bersin', 'lama']",1,1,0
53,tidak parfum sedikit busa super gentle bersih kemas besar biasa butuh netral tidak kering tambah breakout,"['tidak', 'parfum', 'sedikit', 'busa', 'super', 'gentle', 'bersih', 'kemas', 'besar', 'biasa', 'butuh', 'netral', 'tidak', 'kering', 'tambah', 'breakout']",1,1,0
54,coba bagus rasa licin rasa tidak kotor bruntus jerawat tidak pengaruh enak tidak kering,"['coba', 'bagus', 'rasa', 'licin', 'rasa', 'tidak', 'kotor', 'bruntus', 'jerawat', 'tidak', 'pengaruh', 'enak', 'tidak', 'kering']",1,1,0
55,sensitif jerawat bagus banget tidak aman tidak aneh aneh busa cukup sedikit tidak kering tarik dasar tidak tidak suka sabun akhiranya licin kurang tarik repurchase,"['sensitif', 'jerawat', 'bagus', 'banget', 'tidak', 'aman', 'tidak', 'aneh', 'aneh', 'busa', 'cukup', 'sedikit', 'tidak', 'kering', 'tarik', 'dasar', 'tidak', 'tidak', 'suka', 'sabun', 'akhiranya', 'licin', 'kurang', 'tarik', 'repurchase']",0,0,1
56,sensitif cuaca benar bagus banget walaupun rasa tidak minyak habis tapi benar cukup bersih sangat promising produk dasar dehidrasi,"['sensitif', 'cuaca', 'benar', 'bagus', 'banget', 'walaupun', 'rasa', 'tidak', 'minyak', 'habis', 'tapi', 'benar', 'cukup', 'bersih', 'sangat', 'promising', 'produk', 'dasar', 'dehidrasi']",1,1,0
57,sensitif banget tidak kering tidak minyak coba banyak produk janjin aman sensitif cocok habis rasa enak banget lembut bersih banget tidak asa tarik tidak bisa,"['sensitif', 'banget', 'tidak', 'kering', 'tidak', 'minyak', 'coba', 'banyak', 'produk', 'janjin', 'aman', 'sensitif', 'cocok', 'habis', 'rasa', 'enak', 'banget', 'lembut', 'bersih', 'banget', 'tidak', 'asa', 'tarik', 'tidak', 'bisa']",1,1,0
58,salah produk cocok nyaman selain alergi punggung bisa tekstur bahanya aman banget awal bingung tidak tidak kotor tidak licin tarik tapi bagus rekomendasi banget lama susah cocok sabun aman,"['salah', 'produk', 'cocok', 'nyaman', 'selain', 'alergi', 'punggung', 'bisa', 'tekstur', 'bahanya', 'aman', 'banget', 'awal', 'bingung', 'tidak', 'tidak', 'kotor', 'tidak', 'licin', 'tarik', 'tapi', 'bagus', 'rekomendasi', 'banget', 'lama', 'susah', 'cocok', 'sabun', 'aman']",1,1,0
59,rekomendasin bingung banget gentle banget rasa tidak tapi bersih lebih mending tapi mending overal bagus tapi tidak efek signifikan tapi,"['rekomendasin', 'bingung', 'banget', 'gentle', 'banget', 'rasa', 'tidak', 'tapi', 'bersih', 'lebih', 'mending', 'tapi', 'mending', 'overal', 'bagus', 'tapi', 'tidak', 'efek', 'signifikan', 'tapi']",1,1,0
60,sabun super gentle rasa lembut mengunakan produk gila super nyaman tidak aman tidak busa cocok sensitif banget nyaman,"['sabun', 'super', 'gentle', 'rasa', 'lembut', 'mengunakan', 'produk', 'gila', 'super', 'nyaman', 'tidak', 'aman', 'tidak', 'busa', 'cocok', 'sensitif', 'banget', 'nyaman']",1,1,0
61,sensitif cocok banget tapi kurang suka tekstur licin harga lumayan tapi overal efek bagus gampang banget,"['sensitif', 'cocok', 'banget', 'tapi', 'kurang', 'suka', 'tekstur', 'licin', 'harga', 'lumayan', 'tapi', 'overal', 'efek', 'bagus', 'gampang', 'banget']",0,0,1
62,bersih aman bisa jerawat parah akhir putus tapi tapi double bersih tidak kotor tapi bruntus tambah jerawat bersih cocok banget tidak busa,"['bersih', 'aman', 'bisa', 'jerawat', 'parah', 'akhir', 'putus', 'tapi', 'tapi', 'double', 'bersih', 'tidak', 'kotor', 'tapi', 'bruntus', 'tambah', 'jerawat', 'bersih', 'cocok', 'banget', 'tidak', 'busa']",1,1,0
63,bagus banget walaupun gad busa tapi bersih banget hasil wajah licin tapi enak cocok banget kekuranganya harga mahal,"['bagus', 'banget', 'walaupun', 'gad', 'busa', 'tapi', 'bersih', 'banget', 'hasil', 'wajah', 'licin', 'tapi', 'enak', 'cocok', 'banget', 'kekuranganya', 'harga', 'mahal']",1,1,0
64,bagus banget tidak efek cerah tapi sangat sangat lembap sangat jaga muncul bruntus kurang cocok tapi mantap banget semingu tidak parfum tidak busa lebih diperhatin tidak,"['bagus', 'banget', 'tidak', 'efek', 'cerah', 'tapi', 'sangat', 'sangat', 'lembap', 'sangat', 'jaga', 'muncul', 'bruntus', 'kurang', 'cocok', 'tapi', 'mantap', 'banget', 'semingu', 'tidak', 'parfum', 'tidak', 'busa', 'lebih', 'diperhatin', 'tidak']",1,1,0
65,awal shope kondisi kering banget parah cocok benar benar lembap cocok banget tidak jerawat masalah,"['awal', 'shope', 'kondisi', 'kering', 'banget', 'parah', 'cocok', 'benar', 'benar', 'lembap', 'cocok', 'banget', 'tidak', 'jerawat', 'masalah']",1,1,0
66,hopeles super sensitif kering rasa tarik sabun cocok hasil benar hilang merah kering liquid tidak parfum makin wangi produk makin tarik gentle banget hampir tahun habis rekomendasi banget sembuh sensitif kering juara,"['hopeles', 'super', 'sensitif', 'kering', 'rasa', 'tarik', 'sabun', 'cocok', 'hasil', 'benar', 'hilang', 'merah', 'kering', 'liquid', 'tidak', 'parfum', 'makin', 'wangi', 'produk', 'makin', 'tarik', 'gentle', 'banget', 'hampir', 'tahun', 'habis', 'rekomendasi', 'banget', 'sembuh', 'sensitif', 'kering', 'juara']",1,1,0
67,gentle banget tidak rasa tidak busa minyak overal bagus tidak sensasi tarik enak bisa bisa tidak cukup,"['gentle', 'banget', 'tidak', 'rasa', 'tidak', 'busa', 'minyak', 'overal', 'bagus', 'tidak', 'sensasi', 'tarik', 'enak', 'bisa', 'bisa', 'tidak', 'cukup']",1,1,0
68,sensitif tolong banget reda bruntus akibat alergi sangat bantu tekstur cair tidak busa wangi tidak sengat hampir tidak cium bantu banget bersih malas tingal kapas tidak repot,"['sensitif', 'tolong', 'banget', 'reda', 'bruntus', 'akibat', 'alergi', 'sangat', 'bantu', 'tekstur', 'cair', 'tidak', 'busa', 'wangi', 'tidak', 'sengat', 'hampir', 'tidak', 'cium', 'bantu', 'banget', 'bersih', 'malas', 'tingal', 'kapas', 'tidak', 'repot']",1,1,0
69,awal bagus banget jerawat bekas jerawat merah pie tidak aneh akhir coba gentle kerja bersih tidak sensasi tarik tidak wangi aneh sayang,"['awal', 'bagus', 'banget', 'jerawat', 'bekas', 'jerawat', 'merah', 'pie', 'tidak', 'aneh', 'akhir', 'coba', 'gentle', 'kerja', 'bersih', 'tidak', 'sensasi', 'tarik', 'tidak', 'wangi', 'aneh', 'sayang']",1,1,0
